persona-id,emotion-id,type,emotion,situation,age_id,sex_id
Pro_03719,S05_D02_E68,E68,신이 난,"['S05', 'D02']",A02,G01
Pro_10583,S11_D01_E32,E32,스트레스 받는,"['S11', 'D01']",A02,G01
Pro_01781,S02_D02_E50,E50,당황,"['S02', 'D02']",A02,G01
Pro_10919,S13_D02_E68,E68,신이 난,"['S13', 'D02']",A02,G01
Pro_12418,S13_D01_E67,E67,안도,"['S13', 'D01']",A02,G01
Pro_08724,S08_D02_E33,E33,취약한,"['S08', 'D02']",A02,G01
Pro_07275,S09_D02_E24,E24,우울한,"['S09', 'D02']",A02,G01
Pro_10868,S13_D02_E17,E17,구역질 나는,"['S13', 'D02']",A02,G01
Pro_00303,S03_D02_E12,E12,좌절한,"['S03', 'D02']",A02,G01
Pro_11358,S04_D02_E27,E27,눈물이 나는,"['S04', 'D02']",A02,G01
Pro_10653,S11_D02_E42,E42,배신당한,"['S11', 'D02']",A02,G01
Pro_00223,S02_D02_E52,E52,남의 시선을 의식하는,"['S02', 'D02']",A02,G01
Pro_08746,S08_D02_E55,E55,죄책감의,"['S08', 'D02']",A02,G01
Pro_07286,S09_D02_E35,E35,당혹스러운,"['S09', 'D02']",A02,G01
Pro_12178,S11_D01_E67,E67,안도,"['S11', 'D01']",A02,G01
Pro_05221,S05_D02_E10,E10,분노,"['S05', 'D02']",A02,G01
Pro_05122,S04_D02_E31,E31,두려운,"['S04', 'D02']",A02,G01
Pro_10863,S13_D02_E12,E12,좌절한,"['S13', 'D02']",A02,G01
Pro_12199,S11_D02_E28,E28,낙담한,"['S11', 'D02']",A02,G01
Pro_00207,S02_D02_E36,E36,회의적인,"['S02', 'D02']",A02,G01
Pro_08716,S08_D02_E25,E25,마비된,"['S08', 'D02']",A02,G01
Pro_08823,S09_D02_E12,E12,좌절한,"['S09', 'D02']",A02,G01
Pro_03596,S04_D02_E65,E65,흥분,"['S04', 'D02']",A02,G01
Pro_03829,S06_D02_E58,E58,한심한,"['S06', 'D02']",A02,G01
Pro_05117,S04_D02_E26,E26,염세적인,"['S04', 'D02']",A02,G01
Pro_01646,S01_D02_E35,E35,당혹스러운,"['S01', 'D02']",A02,G01
Pro_10627,S11_D02_E16,E16,안달하는,"['S11', 'D02']",A02,G01
Pro_05359,S06_D02_E28,E28,낙담한,"['S06', 'D02']",A02,G01
Pro_12470,S13_D02_E59,E59,혼란스러운(당황한),"['S13', 'D02']",A02,G01
Pro_08848,S09_D02_E37,E37,걱정스러운,"['S09', 'D02']",A02,G01
Pro_03683,S05_D02_E32,E32,스트레스 받는,"['S05', 'D02']",A02,G01
Pro_09798,S04_D02_E27,E27,눈물이 나는,"['S04', 'D02']",A02,G01
Pro_07169,S08_D02_E38,E38,조심스러운,"['S08', 'D02']",A02,G01
Pro_08941,S10_D02_E10,E10,분노,"['S10', 'D02']",A02,G01
Pro_00238,S02_D02_E67,E67,안도,"['S02', 'D02']",A02,G01
Pro_07055,S07_D02_E44,E44,충격 받은,"['S07', 'D02']",A02,G01
Pro_12382,S13_D01_E31,E31,두려운,"['S13', 'D01']",A02,G01
Pro_07291,S09_D02_E40,E40,상처,"['S09', 'D02']",A02,G01
Pro_08601,S07_D02_E30,E30,불안,"['S07', 'D02']",A02,G01
Pro_07409,S10_D02_E38,E38,조심스러운,"['S10', 'D02']",A02,G01
Pro_01749,S02_D02_E18,E18,노여워하는,"['S02', 'D02']",A02,G01
Pro_05271,S05_D02_E60,E60,기쁨,"['S05', 'D02']",A02,G01
Pro_07144,S08_D02_E13,E13,짜증내는,"['S08', 'D02']",A02,G01
Pro_08605,S07_D02_E34,E34,혼란스러운,"['S07', 'D02']",A02,G01
Pro_12121,S11_D01_E10,E10,분노,"['S11', 'D01']",A02,G01
Pro_07053,S07_D02_E42,E42,배신당한,"['S07', 'D02']",A02,G01
Pro_01640,S01_D02_E29,E29,환멸을 느끼는,"['S01', 'D02']",A02,G01
Pro_05119,S04_D02_E28,E28,낙담한,"['S04', 'D02']",A02,G01
Pro_11353,S04_D02_E22,E22,비통한,"['S04', 'D02']",A02,G01
Pro_12409,S13_D01_E58,E58,한심한,"['S13', 'D01']",A02,G01
Pro_03795,S06_D02_E24,E24,우울한,"['S06', 'D02']",A02,G01
Pro_00108,S01_D02_E57,E57,혐오스러운,"['S01', 'D02']",A02,G01
Pro_10838,S13_D01_E47,E47,억울한,"['S13', 'D01']",A02,G01
Pro_03679,S05_D02_E28,E28,낙담한,"['S05', 'D02']",A02,G01
Pro_03689,S05_D02_E38,E38,조심스러운,"['S05', 'D02']",A02,G01
Pro_05151,S04_D02_E60,E60,기쁨,"['S04', 'D02']",A02,G01
Pro_12380,S13_D01_E29,E29,환멸을 느끼는,"['S13', 'D01']",A02,G01
Pro_03664,S05_D02_E13,E13,짜증내는,"['S05', 'D02']",A02,G01
Pro_01886,S03_D02_E35,E35,당혹스러운,"['S03', 'D02']",A02,G01
Pro_10658,S11_D02_E47,E47,억울한,"['S11', 'D02']",A02,G01
Pro_05399,S06_D02_E68,E68,신이 난,"['S06', 'D02']",A02,G01
Pro_12376,S13_D01_E25,E25,마비된,"['S13', 'D01']",A02,G01
Pro_07078,S07_D02_E67,E67,안도,"['S07', 'D02']",A02,G01
Pro_07068,S07_D02_E57,E57,혐오스러운,"['S07', 'D02']",A02,G01
Pro_01916,S03_D02_E65,E65,흥분,"['S03', 'D02']",A02,G01
Pro_09835,S04_D02_E64,E64,만족스러운,"['S04', 'D02']",A02,G01
Pro_05387,S06_D02_E56,E56,부끄러운,"['S06', 'D02']",A02,G01
Pro_05348,S06_D02_E17,E17,구역질 나는,"['S06', 'D02']",A02,G01
Pro_05260,S05_D02_E49,E49,버려진,"['S05', 'D02']",A02,G01
Pro_10842,S13_D01_E51,E51,고립된(당황한),"['S13', 'D01']",A02,G01
Pro_11311,S04_D01_E40,E40,상처,"['S04', 'D01']",A02,G01
Pro_09819,S04_D02_E48,E48,괴로워하는,"['S04', 'D02']",A02,G01
Pro_08715,S08_D02_E24,E24,우울한,"['S08', 'D02']",A02,G01
Pro_01679,S01_D02_E68,E68,신이 난,"['S01', 'D02']",A02,G01
Pro_03677,S05_D02_E26,E26,염세적인,"['S05', 'D02']",A02,G01
Pro_00086,S01_D02_E35,E35,당혹스러운,"['S01', 'D02']",A02,G01
Pro_00240,S02_D02_E69,E69,자신하는,"['S02', 'D02']",A02,G01
Pro_01904,S03_D02_E53,E53,외로운,"['S03', 'D02']",A02,G01
Pro_07025,S07_D02_E14,E14,방어적인,"['S07', 'D02']",A02,G01
Pro_07407,S10_D02_E36,E36,회의적인,"['S10', 'D02']",A02,G01
Pro_10854,S13_D01_E63,E63,편안한,"['S13', 'D01']",A02,G01
Pro_08701,S08_D02_E10,E10,분노,"['S08', 'D02']",A02,G01
Pro_05123,S04_D02_E32,E32,스트레스 받는,"['S04', 'D02']",A02,G01
Pro_01768,S02_D02_E37,E37,걱정스러운,"['S02', 'D02']",A02,G01
Pro_11365,S04_D02_E34,E34,혼란스러운,"['S04', 'D02']",A02,G01
Pro_10907,S13_D02_E56,E56,부끄러운,"['S13', 'D02']",A02,G01
Pro_03688,S05_D02_E37,E37,걱정스러운,"['S05', 'D02']",A02,G01
Pro_03679,S05_D02_E28,E28,낙담한,"['S05', 'D02']",A02,G01
Pro_10585,S11_D01_E34,E34,혼란스러운,"['S11', 'D01']",A02,G01
Pro_07191,S08_D02_E60,E60,기쁨,"['S08', 'D02']",A02,G01
Pro_05372,S06_D02_E41,E41,질투하는,"['S06', 'D02']",A02,G01
Pro_07195,S08_D02_E64,E64,만족스러운,"['S08', 'D02']",A02,G01
Pro_05392,S06_D02_E61,E61,감사하는,"['S06', 'D02']",A02,G01
Pro_10582,S11_D01_E31,E31,두려운,"['S11', 'D01']",A02,G01
Pro_01790,S02_D02_E59,E59,혼란스러운(당황한),"['S02', 'D02']",A02,G01
Pro_03815,S06_D02_E44,E44,충격 받은,"['S06', 'D02']",A02,G01
Pro_10598,S11_D01_E47,E47,억울한,"['S11', 'D01']",A02,G01
Pro_03684,S05_D02_E33,E33,취약한,"['S05', 'D02']",A02,G01
Pro_07281,S09_D02_E30,E30,불안,"['S09', 'D02']",A02,G01
Pro_12150,S11_D01_E39,E39,초조한,"['S11', 'D01']",A02,G01
Pro_12167,S11_D01_E56,E56,부끄러운,"['S11', 'D01']",A02,G01
Pro_00303,S03_D02_E12,E12,좌절한,"['S03', 'D02']",A02,G01
Pro_05278,S05_D02_E67,E67,안도,"['S05', 'D02']",A02,G01
Pro_12381,S13_D01_E30,E30,불안,"['S13', 'D01']",A02,G01
Pro_08832,S09_D02_E21,E21,실망한,"['S09', 'D02']",A02,G01
Pro_08845,S09_D02_E34,E34,혼란스러운,"['S09', 'D02']",A02,G01
Pro_09731,S04_D01_E20,E20,슬픔,"['S04', 'D01']",A02,G01
Pro_01666,S01_D02_E55,E55,죄책감의,"['S01', 'D02']",A02,G01
Pro_03833,S06_D02_E62,E62,신뢰하는,"['S06', 'D02']",A02,G01
Pro_11312,S04_D01_E41,E41,질투하는,"['S04', 'D01']",A02,G01
Pro_12470,S13_D02_E59,E59,혼란스러운(당황한),"['S13', 'D02']",A02,G01
Pro_10893,S13_D02_E42,E42,배신당한,"['S13', 'D02']",A02,G01
Pro_10883,S13_D02_E32,E32,스트레스 받는,"['S13', 'D02']",A02,G01
Pro_09724,S04_D01_E13,E13,짜증내는,"['S04', 'D01']",A02,G01
Pro_05136,S04_D02_E45,E45,"가난한, 불우한","['S04', 'D02']",A02,G01
Pro_08746,S08_D02_E55,E55,죄책감의,"['S08', 'D02']",A02,G01
Pro_05120,S04_D02_E29,E29,환멸을 느끼는,"['S04', 'D02']",A02,G01
Pro_10818,S13_D01_E27,E27,눈물이 나는,"['S13', 'D01']",A02,G01
Pro_05349,S06_D02_E18,E18,노여워하는,"['S06', 'D02']",A02,G01
Pro_08941,S10_D02_E10,E10,분노,"['S10', 'D02']",A02,G01
Pro_08589,S07_D02_E18,E18,노여워하는,"['S07', 'D02']",A02,G01
Pro_08589,S07_D02_E18,E18,노여워하는,"['S07', 'D02']",A02,G01
Pro_03689,S05_D02_E38,E38,조심스러운,"['S05', 'D02']",A02,G01
Pro_01624,S01_D02_E13,E13,짜증내는,"['S01', 'D02']",A02,G01
Pro_01896,S03_D02_E45,E45,"가난한, 불우한","['S03', 'D02']",A02,G01
Pro_01902,S03_D02_E51,E51,고립된(당황한),"['S03', 'D02']",A02,G01
Pro_07261,S09_D02_E10,E10,분노,"['S09', 'D02']",A02,G01
Pro_08712,S08_D02_E21,E21,실망한,"['S08', 'D02']",A02,G01
Pro_10903,S13_D02_E52,E52,남의 시선을 의식하는,"['S13', 'D02']",A02,G01
Pro_07173,S08_D02_E42,E42,배신당한,"['S08', 'D02']",A02,G01
Pro_07188,S08_D02_E57,E57,혐오스러운,"['S08', 'D02']",A02,G01
Pro_00346,S03_D02_E55,E55,죄책감의,"['S03', 'D02']",A02,G01
Pro_01636,S01_D02_E25,E25,마비된,"['S01', 'D02']",A02,G01
Pro_03674,S05_D02_E23,E23,후회되는,"['S05', 'D02']",A02,G01
Pro_08859,S09_D02_E48,E48,괴로워하는,"['S09', 'D02']",A02,G01
Pro_08742,S08_D02_E51,E51,고립된(당황한),"['S08', 'D02']",A02,G01
Pro_08603,S07_D02_E32,E32,스트레스 받는,"['S07', 'D02']",A02,G01
Pro_01748,S02_D02_E17,E17,구역질 나는,"['S02', 'D02']",A02,G01
Pro_01863,S03_D02_E12,E12,좌절한,"['S03', 'D02']",A02,G01
Pro_05343,S06_D02_E12,E12,좌절한,"['S06', 'D02']",A02,G01
Pro_01906,S03_D02_E55,E55,죄책감의,"['S03', 'D02']",A02,G01
Pro_05375,S06_D02_E44,E44,충격 받은,"['S06', 'D02']",A02,G01
Pro_05146,S04_D02_E55,E55,죄책감의,"['S04', 'D02']",A02,G01
Pro_01642,S01_D02_E31,E31,두려운,"['S01', 'D02']",A02,G01
Pro_01906,S03_D02_E55,E55,죄책감의,"['S03', 'D02']",A02,G01
Pro_10918,S13_D02_E67,E67,안도,"['S13', 'D02']",A02,G01
Pro_10671,S11_D02_E60,E60,기쁨,"['S11', 'D02']",A02,G01
Pro_12458,S13_D02_E47,E47,억울한,"['S13', 'D02']",A02,G01
Pro_10907,S13_D02_E56,E56,부끄러운,"['S13', 'D02']",A02,G01
Pro_07148,S08_D02_E17,E17,구역질 나는,"['S08', 'D02']",A02,G01
Pro_12469,S13_D02_E58,E58,한심한,"['S13', 'D02']",A02,G01
Pro_05245,S05_D02_E34,E34,혼란스러운,"['S05', 'D02']",A02,G01
Pro_07049,S07_D02_E38,E38,조심스러운,"['S07', 'D02']",A02,G01
Pro_03587,S04_D02_E56,E56,부끄러운,"['S04', 'D02']",A02,G01
Pro_03558,S04_D02_E27,E27,눈물이 나는,"['S04', 'D02']",A02,G01
Pro_01861,S03_D02_E10,E10,분노,"['S03', 'D02']",A02,G01
Pro_08844,S09_D02_E33,E33,취약한,"['S09', 'D02']",A02,G01
Pro_08851,S09_D02_E40,E40,상처,"['S09', 'D02']",A02,G01
Pro_05279,S05_D02_E68,E68,신이 난,"['S05', 'D02']",A02,G01
Pro_08704,S08_D02_E13,E13,짜증내는,"['S08', 'D02']",A02,G01
Pro_07058,S07_D02_E47,E47,억울한,"['S07', 'D02']",A02,G01
Pro_10802,S13_D01_E11,E11,툴툴대는,"['S13', 'D01']",A02,G01
Pro_12171,S11_D01_E60,E60,기쁨,"['S11', 'D01']",A02,G01
Pro_05150,S04_D02_E59,E59,혼란스러운(당황한),"['S04', 'D02']",A02,G01
Pro_08756,S08_D02_E65,E65,흥분,"['S08', 'D02']",A02,G01
Pro_05139,S04_D02_E48,E48,괴로워하는,"['S04', 'D02']",A02,G01
Pro_03791,S06_D02_E20,E20,슬픔,"['S06', 'D02']",A02,G01
Pro_12139,S11_D01_E28,E28,낙담한,"['S11', 'D01']",A02,G01
Pro_10667,S11_D02_E56,E56,부끄러운,"['S11', 'D02']",A02,G01
Pro_03708,S05_D02_E57,E57,혐오스러운,"['S05', 'D02']",A02,G01
Pro_08733,S08_D02_E42,E42,배신당한,"['S08', 'D02']",A02,G01
Pro_01909,S03_D02_E58,E58,한심한,"['S03', 'D02']",A02,G01
Pro_09766,S04_D01_E55,E55,죄책감의,"['S04', 'D01']",A02,G01
Pro_07399,S10_D02_E28,E28,낙담한,"['S10', 'D02']",A02,G01
Pro_09730,S04_D01_E19,E19,성가신,"['S04', 'D01']",A02,G01
Pro_10639,S11_D02_E28,E28,낙담한,"['S11', 'D02']",A02,G01
Pro_10862,S13_D02_E11,E11,툴툴대는,"['S13', 'D02']",A02,G01
Pro_07032,S07_D02_E21,E21,실망한,"['S07', 'D02']",A02,G01
Pro_07312,S09_D02_E61,E61,감사하는,"['S09', 'D02']",A02,G01
Pro_01671,S01_D02_E60,E60,기쁨,"['S01', 'D02']",A02,G01
Pro_08607,S07_D02_E36,E36,회의적인,"['S07', 'D02']",A02,G01
Pro_03565,S04_D02_E34,E34,혼란스러운,"['S04', 'D02']",A02,G01
Pro_10902,S13_D02_E51,E51,고립된(당황한),"['S13', 'D02']",A02,G01
Pro_05130,S04_D02_E39,E39,초조한,"['S04', 'D02']",A02,G01
Pro_11352,S04_D02_E21,E21,실망한,"['S04', 'D02']",A02,G01
Pro_09791,S04_D02_E20,E20,슬픔,"['S04', 'D02']",A02,G01
Pro_01654,S01_D02_E43,E43,고립된,"['S01', 'D02']",A02,G01
Pro_10646,S11_D02_E35,E35,당혹스러운,"['S11', 'D02']",A02,G01
Pro_08944,S10_D02_E13,E13,짜증내는,"['S10', 'D02']",A02,G01
Pro_08584,S07_D02_E13,E13,짜증내는,"['S07', 'D02']",A02,G01
Pro_03792,S06_D02_E21,E21,실망한,"['S06', 'D02']",A02,G01
Pro_11384,S04_D02_E53,E53,외로운,"['S04', 'D02']",A02,G01
Pro_07034,S07_D02_E23,E23,후회되는,"['S07', 'D02']",A02,G01
Pro_01790,S02_D02_E59,E59,혼란스러운(당황한),"['S02', 'D02']",A02,G01
Pro_01744,S02_D02_E13,E13,짜증내는,"['S02', 'D02']",A02,G01
Pro_01655,S01_D02_E44,E44,충격 받은,"['S01', 'D02']",A02,G01
Pro_11378,S04_D02_E47,E47,억울한,"['S04', 'D02']",A02,G01
Pro_11395,S04_D02_E64,E64,만족스러운,"['S04', 'D02']",A02,G01
Pro_00232,S02_D02_E61,E61,감사하는,"['S02', 'D02']",A02,G01
Pro_07430,S10_D02_E59,E59,혼란스러운(당황한),"['S10', 'D02']",A02,G01
Pro_05222,S05_D02_E11,E11,툴툴대는,"['S05', 'D02']",A02,G01
Pro_07059,S07_D02_E48,E48,괴로워하는,"['S07', 'D02']",A02,G01
Pro_08621,S07_D02_E50,E50,당황,"['S07', 'D02']",A02,G01
Pro_08717,S08_D02_E26,E26,염세적인,"['S08', 'D02']",A02,G01
Pro_05396,S06_D02_E65,E65,흥분,"['S06', 'D02']",A02,G01
Pro_03598,S04_D02_E67,E67,안도,"['S04', 'D02']",A02,G01
Pro_00360,S03_D02_E69,E69,자신하는,"['S03', 'D02']",A02,G01
Pro_07306,S09_D02_E55,E55,죄책감의,"['S09', 'D02']",A02,G01
Pro_00226,S02_D02_E55,E55,죄책감의,"['S02', 'D02']",A02,G01
