Code,Browser,CLDR Short Name,category
U+1F600,😀,grinning face,0
U+1F603,😃,grinning face with big eyes,0
U+1F604,😄,grinning face with smiling eyes,0
U+1F601,😁,beaming face with smiling eyes,0
U+1F606,😆,grinning squinting face,0
U+1F605,😅,grinning face with sweat,0
U+1F923,🤣,rolling on the floor laughing,0
U+1F602,😂,face with tears of joy,0
U+1F642,🙂,slightly smiling face,0
U+1F643,🙃,upside-down face,0
U+1FAE0,🫠,⊛ melting face,0
U+1F609,😉,winking face,0
U+1F60A,😊,smiling face with smiling eyes,0
U+1F607,😇,smiling face with halo,0
U+1F970,🥰,smiling face with hearts,0
U+1F60D,😍,smiling face with heart-eyes,0
U+1F929,🤩,star-struck,0
U+1F618,😘,face blowing a kiss,0
U+1F617,😗,kissing face,0
U+263A,☺,smiling face,0
U+1F61A,😚,kissing face with closed eyes,0
U+1F619,😙,kissing face with smiling eyes,0
U+1F972,🥲,smiling face with tear,0
U+1F60B,😋,face savoring food,0
U+1F61B,😛,face with tongue,0
U+1F61C,😜,winking face with tongue,0
U+1F92A,🤪,zany face,0
U+1F61D,😝,squinting face with tongue,0
U+1F911,🤑,money-mouth face,0
U+1F917,🤗,smiling face with open hands,0
U+1F92D,🤭,face with hand over mouth,0
U+1FAE2,🫢,⊛ face with open eyes and hand over mouth,0
U+1FAE3,🫣,⊛ face with peeking eye,0
U+1F92B,🤫,shushing face,0
U+1F914,🤔,thinking face,0
U+1FAE1,🫡,⊛ saluting face,0
U+1F910,🤐,zipper-mouth face,0
U+1F928,🤨,face with raised eyebrow,0
U+1F610,😐,neutral face,0
U+1F611,😑,expressionless face,0
U+1F636,😶,face without mouth,0
U+1FAE5,🫥,⊛ dotted line face,0
U+1F636,😶‍🌫️,face in clouds,0
U+1F60F,😏,smirking face,0
U+1F612,😒,unamused face,0
U+1F644,🙄,face with rolling eyes,0
U+1F62C,😬,grimacing face,0
U+1F62E,😮‍💨,face exhaling,0
U+1F925,🤥,lying face,0
U+1F60C,😌,relieved face,0
U+1F614,😔,pensive face,0
U+1F62A,😪,sleepy face,0
U+1F924,🤤,drooling face,0
U+1F634,😴,sleeping face,0
U+1F637,😷,face with medical mask,0
U+1F912,🤒,face with thermometer,0
U+1F915,🤕,face with head-bandage,0
U+1F922,🤢,nauseated face,0
U+1F92E,🤮,face vomiting,0
U+1F927,🤧,sneezing face,0
U+1F975,🥵,hot face,0
U+1F976,🥶,cold face,0
U+1F974,🥴,woozy face,0
U+1F635,😵,face with crossed-out eyes,0
U+1F635,😵‍💫,face with spiral eyes,0
U+1F92F,🤯,exploding head,0
U+1F920,🤠,cowboy hat face,0
U+1F973,🥳,partying face,0
U+1F978,🥸,disguised face,0
U+1F60E,😎,smiling face with sunglasses,0
U+1F913,🤓,nerd face,0
U+1F9D0,🧐,face with monocle,0
U+1F615,😕,confused face,0
U+1FAE4,🫤,⊛ face with diagonal mouth,0
U+1F61F,😟,worried face,0
U+1F641,🙁,slightly frowning face,0
U+2639,☹,frowning face,0
U+1F62E,😮,face with open mouth,0
U+1F62F,😯,hushed face,0
U+1F632,😲,astonished face,0
U+1F633,😳,flushed face,0
U+1F97A,🥺,pleading face,0
U+1F979,🥹,⊛ face holding back tears,0
U+1F626,😦,frowning face with open mouth,0
U+1F627,😧,anguished face,0
U+1F628,😨,fearful face,0
U+1F630,😰,anxious face with sweat,0
U+1F625,😥,sad but relieved face,0
U+1F622,😢,crying face,0
U+1F62D,😭,loudly crying face,0
U+1F631,😱,face screaming in fear,0
U+1F616,😖,confounded face,0
U+1F623,😣,persevering face,0
U+1F61E,😞,disappointed face,0
U+1F613,😓,downcast face with sweat,0
U+1F629,😩,weary face,0
U+1F62B,😫,tired face,0
U+1F971,🥱,yawning face,0
U+1F624,😤,face with steam from nose,0
U+1F621,😡,pouting face,0
U+1F620,😠,angry face,악플/욕설
U+1F92C,🤬,face with symbols on mouth,0
U+1F608,😈,smiling face with horns,악플/욕설
U+1F47F,👿,angry face with horns,0
U+1F480,💀,skull,0
U+2620,☠,skull and crossbones,0
U+1F4A9,💩,pile of poo,0
U+1F921,🤡,clown face,0
U+1F479,👹,ogre,인종/국적
U+1F47A,👺,goblin,인종/국적
U+1F47B,👻,ghost,인종/국적
U+1F47D,👽,alien,0
U+1F47E,👾,alien monster,인종/국적
U+1F916,🤖,robot,0
U+1F63A,😺,grinning cat,인종/국적
U+1F638,😸,grinning cat with smiling eyes,0
U+1F639,😹,cat with tears of joy,0
U+1F63B,😻,smiling cat with heart-eyes,0
U+1F63C,😼,cat with wry smile,0
U+1F63D,😽,kissing cat,0
U+1F640,🙀,weary cat,0
U+1F63F,😿,crying cat,0
U+1F63E,😾,pouting cat,0
U+1F648,🙈,see-no-evil monkey,0
U+1F649,🙉,hear-no-evil monkey,0
U+1F64A,🙊,speak-no-evil monkey,0
U+1F48B,💋,kiss mark,0
U+1F48C,💌,love letter,0
U+1F498,💘,heart with arrow,0
U+1F49D,💝,heart with ribbon,0
U+1F496,💖,sparkling heart,기타
U+1F497,💗,growing heart,기타
U+1F493,💓,beating heart,기타
U+1F49E,💞,revolving hearts,기타
U+1F495,💕,two hearts,기타
U+1F49F,💟,heart decoration,기타
U+2763,❣,heart exclamation,기타
U+1F494,💔,broken heart,0
U+2764 ,❤️‍🔥,heart on fire,0
U+2764 ,❤️‍🩹,mending heart,0
U+2764,❤,red heart,0
U+1F9E1,🧡,orange heart,0
U+1F49B,💛,yellow heart,0
U+1F49A,💚,green heart,기타
U+1F499,💙,blue heart,기타
U+1F49C,💜,purple heart,기타
U+1F90E,🤎,brown heart,기타
U+1F5A4,🖤,black heart,0
U+1F90D,🤍,white heart,0
U+1F4AF,💯,hundred points,인종/국적
U+1F4A2,💢,anger symbol,0
U+1F4A5,💥,collision,0
U+1F4AB,💫,dizzy,0
U+1F4A6,💦,sweat droplets,0
U+1F4A8,💨,dashing away,0
U+1F573,🕳,hole,0
U+1F4A3,💣,bomb,0
U+1F4AC,💬,speech balloon,0
U+1F441,👁️‍🗨️,eye in speech bubble,0
U+1F5E8,🗨,left speech bubble,0
U+1F5EF,🗯,right anger bubble,0
U+1F4AD,💭,thought balloon,0
U+1F4A4,💤,zzz,0
U+1F44B,👋,waving hand,0
U+1F91A,🤚,raised back of hand,0
U+1F590,🖐,hand with fingers splayed,0
U+270B,✋,raised hand,0
U+1F596,🖖,vulcan salute,0
U+1FAF1,🫱,⊛ rightwards hand,0
U+1FAF2,🫲,⊛ leftwards hand,0
U+1FAF3,🫳,⊛ palm down hand,0
U+1FAF4,🫴,⊛ palm up hand,0
U+1F44C,👌,OK hand,0
U+1F90C,🤌,pinched fingers,0
U+1F90F,🤏,pinching hand,0
U+270C,✌,victory hand,0
U+1F91E,🤞,crossed fingers,0
U+1FAF0,🫰,⊛ hand with index finger and thumb crossed,0
U+1F91F,🤟,love-you gesture,0
U+1F918,🤘,sign of the horns,0
U+1F919,🤙,call me hand,0
U+1F448,👈,backhand index pointing left,0
U+1F449,👉,backhand index pointing right,개인지칭
U+1F446,👆,backhand index pointing up,개인지칭
U+1F595,🖕,middle finger,0
U+1F447,👇,backhand index pointing down,0
U+261D,☝,index pointing up,0
U+1FAF5,🫵,⊛ index pointing at the viewer,0
U+1F44D,👍,thumbs up,0
U+1F44E,👎,thumbs down,0
U+270A,✊,raised fist,0
U+1F44A,👊,oncoming fist,0
U+1F91B,🤛,left-facing fist,0
U+1F91C,🤜,right-facing fist,0
U+1F44F,👏,clapping hands,0
U+1F64C,🙌,raising hands,0
U+1FAF6,🫶,⊛ heart hands,0
U+1F450,👐,open hands,0
U+1F932,🤲,palms up together,0
U+1F91D,🤝,handshake,0
U+1F64F,🙏,folded hands,0
U+270D,✍,writing hand,0
U+1F485,💅,nail polish,0
U+1F933,🤳,selfie,0
U+1F4AA,💪,flexed biceps,0
U+1F9BE,🦾,mechanical arm,0
U+1F9BF,🦿,mechanical leg,0
U+1F9B5,🦵,leg,0
U+1F9B6,🦶,foot,0
U+1F442,👂,ear,0
U+1F9BB,🦻,ear with hearing aid,0
U+1F443,👃,nose,0
U+1F9E0,🧠,brain,0
U+1FAC0,🫀,anatomical heart,0
U+1FAC1,🫁,lungs,0
U+1F9B7,🦷,tooth,0
U+1F9B4,🦴,bone,0
U+1F440,👀,eyes,0
U+1F441,👁,eye,0
U+1F445,👅,tongue,0
U+1F444,👄,mouth,0
U+1FAE6,🫦,⊛ biting lip,0
U+1F476,👶,baby,0
U+1F9D2,🧒,child,연령
U+1F466,👦,boy,연령
U+1F467,👧,girl,연령
U+1F9D1,🧑,person,연령
U+1F471,👱,person: blond hair,0
U+1F468,👨,man,0
U+1F9D4,🧔,person: beard,남성
U+1F9D4,🧔‍♂️,man: beard,0
U+1F9D4,🧔‍♀️,woman: beard,남성
U+1F468,👨‍🦰,man: red hair,0
U+1F468,👨‍🦱,man: curly hair,남성
U+1F468,👨‍🦳,man: white hair,남성
U+1F468,👨‍🦲,man: bald,연령
U+1F469,👩,woman,남성
U+1F469,👩‍🦰,woman: red hair,여성/가족
U+1F9D1,🧑‍🦰,person: red hair,여성/가족
U+1F469,👩‍🦱,woman: curly hair,0
U+1F9D1,🧑‍🦱,person: curly hair,여성/가족
U+1F469,👩‍🦳,woman: white hair,0
U+1F9D1,🧑‍🦳,person: white hair,여성/가족
U+1F469,👩‍🦲,woman: bald,0
U+1F9D1,🧑‍🦲,person: bald,0
U+1F471,👱‍♀️,woman: blond hair,0
U+1F471,👱‍♂️,man: blond hair,여성/가족
U+1F9D3,🧓,older person,남성
U+1F474,👴,old man,연령
U+1F475,👵,old woman,연령
U+1F64D,🙍,person frowning,연령
U+1F64D,🙍‍♂️,man frowning,0
U+1F64D,🙍‍♀️,woman frowning,남성
U+1F64E,🙎,person pouting,여성/가족
U+1F64E,🙎‍♂️,man pouting,0
U+1F64E,🙎‍♀️,woman pouting,남성
U+1F645,🙅,person gesturing NO,여성/가족
U+1F645,🙅‍♂️,man gesturing NO,0
U+1F645,🙅‍♀️,woman gesturing NO,남성
U+1F646,🙆,person gesturing OK,여성/가족
U+1F646,🙆‍♂️,man gesturing OK,0
U+1F646,🙆‍♀️,woman gesturing OK,남성
